id,name,followers,genre,popularity
2oIQCM7hRZI9tS5b9S8rj4,Tyler ICU,515512,['amapiano'],58
76Pl0epAMXVXJspaSuz8im,Freeze corleone,910656,"['drill francais', 'french hip hop', 'melodic drill', 'pop urbaine']",72
6L8y2rKomt32RmT4wfwZS7,Jungeli,8762,[],62
0a8YNI8VHVPYKIPvCiJDxa,Mohbad,581696,"['afrobeats', 'nigerian pop']",65
5np2XqLanbxQzpEVFG0big,Kman 6ixx,7732,[],36
4SsVbpTthjScTS7U2hmr1X,Arcángel,12294888,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",82
72A0Z8q8NiochyK9gUHpCR,The Kolors,370833,"['italian adult pop', 'italian pop']",63
0GOx72r5AAEKRGQFn3xqXK,GIMS,4135677,"['french hip hop', 'french pop', 'r&b francais', 'rap conscient']",71
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,6064095,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",80
1qQLhymHXFPtP5U8KNKsm6,Apache 207,2594125,['german hip hop'],73
5NwQB5sb5ydfoMJ1OgG23B,蒋宗翰 任俊伊 李顺杰 余林杰 郭富琨 王思淇 张程锦 吴昱安 秦誉恩 李海鹏 张乂文 巴登格勒 粟靖林 阚娟 杨芊茹 李成玉 拉尔吾 何万里 安正龙 李蓄东 杨文静 张雨坤 钟瑞佳 吴照燕,6,[],0
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,9032051,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",84
3LOm0AZjpwVQebvkyanjDy,ODUMODUBLVCK,308977,"['afro drill', 'afrobeats', 'nigerian pop']",65
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,20351243,['pop'],79
2FXC3k01G6Gw61bmprjgqS,Hozier,6031074,"['irish singer-songwriter', 'modern rock', 'pov: indie']",81
2jSGzJw0ebJLu7OLVSOcBP,Plan B,3517866,"['reggaeton', 'trap latino', 'urbano latino']",78
6KOszWgIriJLaPOySuBOTI,SUICIDAL-IDOL,61565,['scenecore'],71
1oSPZhvZMIrWW5I41kPkkY,Jimin,6750318,['k-pop'],82
0lAWpj5szCSwM4rUMHYmrr,Måneskin,8002744,"['indie rock italiano', 'italian pop']",79
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,20173002,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",81
6wxfx1yhyqjCPYwwxJktR2,King Gnu,2980901,"['j-pop', 'j-rock']",72
5TP8Ubo4jLKEi4Mw2O8fAk,BM,475911,['previa'],75
5tRk0bqMQubKAVowp35XtC,MC 張天賦,187473,"['cantopop', 'hk-pop']",57
1NNRWkhwmcXRimFYSBpB1y,Yng Lvcas,241118,['reggaeton'],73
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,8511501,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",80
0AqlFI0tz2DsEoJlKSIiT9,Emilia,1778195,['pop argentino'],77
5f7VJjfbwm532GiveGC0ZK,Lil Baby,15638148,"['atl hip hop', 'atl trap', 'rap', 'trap']",86
1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,6749956,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",78
2O8vbr4RYPpk6MRA4fio7u,Saiko,301364,"['urbano espanol', 'urbano latino']",79
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,6238129,"['contemporary country', 'outlaw country']",79
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,2746445,"['belgian edm', 'edm', 'pop dance', 'tropical house']",76
0mMqD2uqwvCjFvlzo6ayGi,DJ Maphorisa,2071610,['amapiano'],64
5q1NzLZwErZ9ujzqZKL0YZ,Три дня дождя,266654,"['russian alt pop', 'russian hip hop']",57
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,20060198,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",81
5TcnuUD5MHBfd1cO4kweWD,Alex Favela,43422,['corrido'],70
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,4657295,['canadian contemporary r&b'],80
4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,587405,"['broadway', 'show tunes']",71
6IflU2YrY5Cyw7YoBICosV,Fally Ipupa,856114,"['azontobeats', 'musique urbaine kinshasa', 'ndombolo', 'r&b francais', 'rumba congolaise']",59
3q7HBObVc0L8jNeTe5Gofh,50 Cent,12692957,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",82
5E9Xn7QuCD3VYCuBqLxBdY,Baby Lullaby Academy,8618,['lullaby'],63
1dKdetem2xEmjgvyymzytS,Grupo Firme,11171464,"['musica mexicana', 'norteno', 'sierreno']",80
2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya,174541,['modern bollywood'],79
1ul8iLt2WnFe2UIyovjg7q,reezy,401473,"['german hip hop', 'german r&b']",70
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,4871159,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",79
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,6210491,['pop'],78
